Year,Country,Mayor,POSITION
2011,Austria,4.9,Mayor or other leader of the municipal council (or equivalent)
2011,Austria,21.8,Members of the municipal council (or equivalent)
2011,Belgium,10.4,Mayor or other leader of the municipal council (or equivalent)
2011,Belgium,35.2,Members of the municipal council (or equivalent)
2011,Bulgaria,10.6,Mayor or other leader of the municipal council (or equivalent)
2011,Bulgaria,24.9,Members of the municipal council (or equivalent)
2011,Croatia,4.9,Mayor or other leader of the municipal council (or equivalent)
2011,Croatia,17.1,Members of the municipal council (or equivalent)
2011,Cyprus,3.8,Mayor or other leader of the municipal council (or equivalent)
2011,Cyprus,12.9,Members of the municipal council (or equivalent)
2011,Czechia,8.7,Mayor or other leader of the municipal council (or equivalent)
2011,Czechia,26.4,Members of the municipal council (or equivalent)
2011,Denmark,14.3,Mayor or other leader of the municipal council (or equivalent)
2011,Denmark,31.8,Members of the municipal council (or equivalent)
2011,EEA countries (non-EU),23.8,Mayor or other leader of the municipal council (or equivalent)
2011,EEA countries (non-EU),37.5,Members of the municipal council (or equivalent)
2011,Estonia,10.6,Mayor or other leader of the municipal council (or equivalent)
2011,Estonia,29,Members of the municipal council (or equivalent)
2011,European Union - 27 countries (from 2020),13.1,Mayor or other leader of the municipal council (or equivalent)
2011,European Union - 27 countries (from 2020),30.5,Members of the municipal council (or equivalent)
2011,European Union - 28 countries (1993-2020),13.2,Mayor or other leader of the municipal council (or equivalent)
2011,European Union - 28 countries (1993-2020),30.5,Members of the municipal council (or equivalent)
2011,Finland,16.4,Mayor or other leader of the municipal council (or equivalent)
2011,Finland,36.7,Members of the municipal council (or equivalent)
2011,France,13.9,Mayor or other leader of the municipal council (or equivalent)
2011,France,35,Members of the municipal council (or equivalent)
2011,Germany,11.3,Mayor or other leader of the municipal council (or equivalent)
2011,Germany,19.1,Members of the municipal council (or equivalent)
2011,Greece,2.5,Mayor or other leader of the municipal council (or equivalent)
2011,Greece,16.5,Members of the municipal council (or equivalent)
2011,Hungary,10.7,Mayor or other leader of the municipal council (or equivalent)
2011,Hungary,20.1,Members of the municipal council (or equivalent)
2011,Iceland,34.2,Mayor or other leader of the municipal council (or equivalent)
2011,Iceland,39.8,Members of the municipal council (or equivalent)
2011,Instrument for Pre-accession Assistance (IPA) beneficiaries,1,Mayor or other leader of the municipal council (or equivalent)
2011,Instrument for Pre-accession Assistance (IPA) beneficiaries,8,Members of the municipal council (or equivalent)
2011,Ireland,20.2,Mayor or other leader of the municipal council (or equivalent)
2011,Ireland,17.3,Members of the municipal council (or equivalent)
2011,Italy,12.3,Mayor or other leader of the municipal council (or equivalent)
2011,Italy,24.8,Members of the municipal council (or equivalent)
2011,Latvia,20.2,Mayor or other leader of the municipal council (or equivalent)
2011,Latvia,35.8,Members of the municipal council (or equivalent)
2011,Liechtenstein,0,Mayor or other leader of the municipal council (or equivalent)
2011,Liechtenstein,27.4,Members of the municipal council (or equivalent)
2011,Lithuania,6.7,Mayor or other leader of the municipal council (or equivalent)
2011,Lithuania,22.4,Members of the municipal council (or equivalent)
2011,Luxembourg,10.3,Mayor or other leader of the municipal council (or equivalent)
2011,Luxembourg,21.4,Members of the municipal council (or equivalent)
2011,Malta,13.2,Mayor or other leader of the municipal council (or equivalent)
2011,Malta,22.1,Members of the municipal council (or equivalent)
2011,Netherlands,19.2,Mayor or other leader of the municipal council (or equivalent)
2011,Netherlands,26.3,Members of the municipal council (or equivalent)
2011,North Macedonia,0,Mayor or other leader of the municipal council (or equivalent)
2011,North Macedonia,26.2,Members of the municipal council (or equivalent)
2011,Norway,22.6,Mayor or other leader of the municipal council (or equivalent)
2011,Norway,37.5,Members of the municipal council (or equivalent)
2011,Poland,9,Mayor or other leader of the municipal council (or equivalent)
2011,Poland,24.2,Members of the municipal council (or equivalent)
2011,Portugal,7.5,Mayor or other leader of the municipal council (or equivalent)
2011,Portugal,28.4,Members of the municipal council (or equivalent)
2011,Romania,3.5,Mayor or other leader of the municipal council (or equivalent)
2011,Serbia,4.2,Mayor or other leader of the municipal council (or equivalent)
2011,Serbia,21.2,Members of the municipal council (or equivalent)
2011,Slovakia,22.4,Mayor or other leader of the municipal council (or equivalent)
2011,Slovenia,4.8,Mayor or other leader of the municipal council (or equivalent)
2011,Slovenia,22,Members of the municipal council (or equivalent)
2011,Spain,16.8,Mayor or other leader of the municipal council (or equivalent)
2011,Spain,34.9,Members of the municipal council (or equivalent)
2011,Sweden,30.8,Mayor or other leader of the municipal council (or equivalent)
2011,Sweden,43,Members of the municipal council (or equivalent)
2011,Turkey,0.9,Mayor or other leader of the municipal council (or equivalent)
2011,Turkey,4.5,Members of the municipal council (or equivalent)
2011,United Kingdom,19.7,Mayor or other leader of the municipal council (or equivalent)
2011,United Kingdom,29.9,Members of the municipal council (or equivalent)
2013,Austria,5.2,Mayor or other leader of the municipal council (or equivalent)
2013,Austria,22.1,Members of the municipal council (or equivalent)
2013,Belgium,12.7,Mayor or other leader of the municipal council (or equivalent)
2013,Belgium,35.6,Members of the municipal council (or equivalent)
2013,Bulgaria,11,Mayor or other leader of the municipal council (or equivalent)
2013,Bulgaria,25.6,Members of the municipal council (or equivalent)
2013,Croatia,7,Mayor or other leader of the municipal council (or equivalent)
2013,Croatia,19.8,Members of the municipal council (or equivalent)
2013,Cyprus,3.8,Mayor or other leader of the municipal council (or equivalent)
2013,Cyprus,12.9,Members of the municipal council (or equivalent)
2013,Czechia,8.7,Mayor or other leader of the municipal council (or equivalent)
2013,Czechia,26.4,Members of the municipal council (or equivalent)
2013,Denmark,17.3,Mayor or other leader of the municipal council (or equivalent)
2013,Denmark,31.8,Members of the municipal council (or equivalent)
2013,EEA countries (non-EU),23.6,Mayor or other leader of the municipal council (or equivalent)
2013,EEA countries (non-EU),38.1,Members of the municipal council (or equivalent)
2013,Estonia,10.6,Mayor or other leader of the municipal council (or equivalent)
2013,Estonia,29,Members of the municipal council (or equivalent)
2013,European Union - 27 countries (from 2020),13.4,Mayor or other leader of the municipal council (or equivalent)
2013,European Union - 27 countries (from 2020),30,Members of the municipal council (or equivalent)
2013,European Union - 28 countries (1993-2020),13.5,Mayor or other leader of the municipal council (or equivalent)
2013,European Union - 28 countries (1993-2020),30,Members of the municipal council (or equivalent)
2013,Finland,16.6,Mayor or other leader of the municipal council (or equivalent)
2013,Finland,36.2,Members of the municipal council (or equivalent)
2013,France,14.4,Mayor or other leader of the municipal council (or equivalent)
2013,France,35,Members of the municipal council (or equivalent)
2013,Germany,11,Mayor or other leader of the municipal council (or equivalent)
2013,Germany,19.1,Members of the municipal council (or equivalent)
2013,Greece,2.5,Mayor or other leader of the municipal council (or equivalent)
2013,Greece,16.5,Members of the municipal council (or equivalent)
2013,Hungary,10.7,Mayor or other leader of the municipal council (or equivalent)
2013,Hungary,20.1,Members of the municipal council (or equivalent)
2013,Iceland,34.2,Mayor or other leader of the municipal council (or equivalent)
2013,Iceland,39.8,Members of the municipal council (or equivalent)
2013,Instrument for Pre-accession Assistance (IPA) beneficiaries,1.1,Mayor or other leader of the municipal council (or equivalent)
2013,Instrument for Pre-accession Assistance (IPA) beneficiaries,9.3,Members of the municipal council (or equivalent)
